Channel.127..H1417	Channel.128..DMS79	Channel.129..H128	Channel.130..H209.1	Channel.131..H524	Channel.127..DMS53	Channel.128..H526	Channel.129..H69	Channel.130..H82	Channel.131..H446	Channel.128..DMS153	Channel.130..H209.9	Channel.127..A549	Channel.128..H1355	Channel.129..H23	Channel.130..H441	Channel.131..H1792	Channel.127..H1299	Channel.128..H1944	Channel.129..H358	Channel.130..H1734	Channel.131..H460	Channel.127..H1650	Channel.128..HCC827	Channel.129..H1975	Channel.130..Calu.3	Channel.131..H2106	Channel.127..H2342	Channel.128..H2073	Channel.129..Lou.NH91	Channel.130..HCC15	Channel.131..H1703	Channel.127..H2228	Channel.128..H3122	Channel.129..HCC78	Channel.130..H661	Channel.131..H1781	Channel.127..H1666	Channel.128..CAL.12T	Channel.129..H2405	Channel.130..HCC44	Channel.131..H1437.8	Channel.127..H838	Channel.129..H2073	Channel.131..H1437.9
Channel.127..H1417	0	0.169524369672241	0.159769792387538	0.158026777616639	0.23838955118796	0.351281865675253	0.231797761759391	0.321836385823682	0.418848923305486	0.350083575710671	0.439429012670607	0.362211410730148	0.389766375809219	0.432201743529764	0.354282789401	0.381141898473877	0.331061591993589	0.359373542761011	0.480457981433352	0.419781964879103	0.370675658921968	0.397782962832555	0.401473779978704	0.439691448859361	0.461124176628644	0.439363382739006	0.296979147611783	0.333040826819234	0.33483642712638	0.400069818110814	0.331897852346881	0.303591584061107	0.375421042726039	0.393833255690061	0.408940168318644	0.379732517084466	0.401717595219532	0.34608115899964	0.40955260290784	0.347767841747966	0.373861749812928	0.302769121100462	0.410806768787138	0.48208105457015	0.379902301905381
Channel.128..DMS79	0.169524369672241	2.22044604925031e-16	0.206954030813887	0.212847373325284	0.271252745553416	0.336306885057914	0.221418270291912	0.362140735565414	0.453699830820286	0.320721528536902	0.398423060671949	0.423247128133327	0.41213463269726	0.402678128477131	0.352453308769198	0.344121902678874	0.345845492205007	0.369703245116228	0.486641200649679	0.41529033661344	0.351540481810256	0.370920834407448	0.412154870281172	0.423712686753432	0.457480992451083	0.445116190147752	0.281192698945857	0.322878677333594	0.307403643268296	0.40393818161273	0.353934890106836	0.298453834900953	0.371851826257073	0.366150481684324	0.386289636453733	0.370735261644881	0.34922626670913	0.363195576958601	0.373474770703381	0.329043538369664	0.350009027784849	0.285713756449573	0.414740185637581	0.447091711111905	0.36728179508414
Channel.129..H128	0.159769792387538	0.206954030813887	2.22044604925031e-16	0.163849604512626	0.182102496976256	0.423085515656106	0.213251992106231	0.261955859841909	0.336802745829625	0.405269696961582	0.383729461055895	0.245139265865847	0.415978143455028	0.440304968559143	0.354735777911174	0.404548540671658	0.349278803958286	0.368888901560559	0.464411377323385	0.433943213832647	0.414934791056201	0.398563304825794	0.427545828623658	0.458351856523043	0.455412005123206	0.484043488835661	0.284876225798731	0.373306736073403	0.396650585332665	0.459291258565706	0.393367605576231	0.330773231402801	0.413243182200599	0.438539114783193	0.47049487921328	0.370145514608547	0.497576391228122	0.368372032542381	0.440929028341527	0.392776742798104	0.396571322687638	0.359500122184183	0.41190231059142	0.453828233447057	0.393305311773902
Channel.130..H209.1	0.158026777616639	0.212847373325284	0.163849604512626	2.22044604925031e-16	0.180844978111642	0.404494328490005	0.207393284812739	0.254285410046368	0.314607431466054	0.375442495901805	0.427959625270735	0.207920303814462	0.405980997281516	0.417836034126939	0.364749704665355	0.371034089845118	0.322631985651902	0.363802055181841	0.490061459594149	0.427695637573899	0.384130865299373	0.401600018751161	0.436599563635072	0.443603164001953	0.470062455848072	0.445707618242062	0.308604540071647	0.338816017155494	0.332905568373971	0.429683148621195	0.335436493068463	0.304175764675448	0.399732198280905	0.407265876721241	0.418053535770452	0.348081937385927	0.435855723973176	0.366947368584827	0.394314897512916	0.385355236081269	0.36684965945959	0.33330209193102	0.419441114173117	0.479134454029975	0.409724043475624
Channel.131..H524	0.23838955118796	0.271252745553416	0.182102496976256	0.180844978111642	0	0.524935319808637	0.235629111291561	0.194041140895211	0.1977123959586	0.456161580371261	0.4411060510557	0.225378208716444	0.450900604050046	0.413920998568469	0.367352664577499	0.436585479660279	0.378484260007785	0.413426261009738	0.501843830450776	0.461081495686436	0.451676603169034	0.452437129695374	0.475862937910567	0.482210890138635	0.482983198766849	0.527004972039106	0.296867415737983	0.409841131260668	0.433081142504326	0.476812912804818	0.43697318526978	0.363751406398051	0.461502318915195	0.476244406438337	0.535595789300948	0.386855654817051	0.53533304179313	0.425255237673816	0.458243291785234	0.442927035820184	0.42461518083318	0.437950143384851	0.432270725090192	0.48234979825165	0.459894942873499
Channel.127..DMS53	0.351281865675253	0.336306885057914	0.423085515656106	0.404494328490005	0.524935319808637	0	0.456271404176022	0.521837137564615	0.680431011512802	0.188315010654791	0.44091170562896	0.681259783719666	0.313643283008144	0.390846907263953	0.324406679113613	0.298056763881911	0.305488671406936	0.273316204639465	0.506478341519979	0.366287684562175	0.315526091942684	0.259922952875917	0.326706933794896	0.289503908097814	0.365607587361841	0.291614515020894	0.414088381264284	0.285633336561095	0.268754729252347	0.319896794305093	0.260470562705091	0.260394948903117	0.330939608418738	0.384476568200545	0.289305359458415	0.324108789810185	0.285673076705704	0.296133605296212	0.292597518092287	0.253855614891098	0.262375818679385	0.266869264693882	0.318025830959983	0.346824908205339	0.30153021414878
Channel.128..H526	0.231797761759391	0.221418270291912	0.213251992106231	0.207393284812739	0.235629111291561	0.456271404176022	0	0.315232258686671	0.34133787322027	0.438511936392135	0.444907407727178	0.356961313149848	0.533217570995008	0.485365655559011	0.423767594209348	0.453975980674801	0.447776079852927	0.443729731187128	0.486730643377099	0.454745902399564	0.451455535651407	0.450057256244584	0.459964755403061	0.476200341441221	0.518902085803602	0.52484400878235	0.30283202492914	0.410627595576332	0.42180146922368	0.518731031506401	0.445813127950558	0.38805949164419	0.474178716123693	0.450386932271103	0.521233366322648	0.446785670902133	0.485800288809014	0.432954667647204	0.479562706738955	0.443673994605664	0.460060051029974	0.372843305233193	0.50724502666054	0.535259201618387	0.427185001460953
Channel.129..H69	0.321836385823682	0.362140735565414	0.261955859841909	0.254285410046368	0.194041140895211	0.521837137564615	0.315232258686671	0	0.25563445852716	0.465411605264411	0.487074489915789	0.260896330991167	0.487618883033243	0.482019709234339	0.413466758967754	0.516908976543125	0.449269258584712	0.449485662788106	0.546341215803267	0.540069328713916	0.480130982239613	0.473416832801257	0.474708450580429	0.545761859117307	0.493436130963008	0.535403314564683	0.357079766313956	0.469789603741287	0.50546880547655	0.538940027496453	0.491759474546166	0.421173609793618	0.507265744105687	0.53569149866115	0.596024325713861	0.4576055838889	0.585331496023672	0.473032145266193	0.507332344928805	0.476558222688554	0.464282995687833	0.518329278962333	0.457006903408553	0.51086969702574	0.51713540463508
Channel.130..H82	0.418848923305486	0.453699830820286	0.336802745829625	0.314607431466054	0.1977123959586	0.680431011512802	0.34133787322027	0.25563445852716	0	0.609618299970328	0.496082393148742	0.248247773461677	0.602970255854885	0.553068562127063	0.476941523565649	0.590928086901864	0.537678375210445	0.546239290754269	0.526254524939975	0.62298001179267	0.560863071785954	0.604318973845512	0.578298412741604	0.637046110663896	0.605566435463669	0.646614007883732	0.408722854670739	0.558393633638009	0.606830521798659	0.649029085742247	0.586860229580812	0.512170959445557	0.622957171661978	0.633318876977396	0.736624352288368	0.536319150217552	0.715467675950278	0.593002235184039	0.596226221906703	0.635115304777601	0.592257288369009	0.585080569615588	0.538055999181061	0.598136413921633	0.555601118403362
Channel.131..H446	0.350083575710671	0.320721528536902	0.405269696961582	0.375442495901805	0.456161580371261	0.188315010654791	0.438511936392135	0.465411605264411	0.609618299970328	0	0.408589608513025	0.574607759005339	0.291392637266304	0.368889687961759	0.28738164892449	0.294958903244892	0.271826013330754	0.223031019341589	0.480776266684373	0.383399861123499	0.290860941983734	0.245298306638815	0.312256290156717	0.309128604486342	0.311314561367957	0.316989139696129	0.347196675066912	0.281516244333117	0.280359602153483	0.324815086962293	0.262917395207106	0.213485137698063	0.302128557217081	0.369829436928737	0.33892801097904	0.260267092376128	0.295127203487647	0.295303018039906	0.28436702157245	0.269426727740043	0.20734301416482	0.284722440869989	0.256595649373262	0.341619118970401	0.30996263572121
