Channel.127..H1417	Channel.128..DMS79	Channel.129..H128	Channel.130..H209.1	Channel.131..H524	Channel.127..DMS53	Channel.128..H526	Channel.129..H69	Channel.130..H82	Channel.131..H446	Channel.128..DMS153	Channel.130..H209.9	Channel.127..A549	Channel.128..H1355	Channel.129..H23	Channel.130..H441	Channel.131..H1792	Channel.127..H1299	Channel.128..H1944	Channel.129..H358	Channel.130..H1734	Channel.131..H460	Channel.127..H1650	Channel.128..HCC827	Channel.129..H1975	Channel.130..Calu.3	Channel.131..H2106	Channel.127..H2342	Channel.128..H2073	Channel.129..Lou.NH91	Channel.130..HCC15	Channel.131..H1703	Channel.127..H2228	Channel.128..H3122	Channel.129..HCC78	Channel.130..H661	Channel.131..H1781	Channel.127..H1666	Channel.128..CAL.12T	Channel.129..H2405	Channel.130..HCC44	Channel.131..H1437.8	Channel.127..H838	Channel.129..H2073	Channel.131..H1437.9
Channel.127..H1417	1	0.830475630327759	0.840230207612462	0.841973222383361	0.76161044881204	0.648718134324747	0.768202238240609	0.678163614176318	0.581151076694514	0.649916424289329	0.560570987329393	0.637788589269852	0.610233624190781	0.567798256470236	0.645717210599	0.618858101526123	0.668938408006411	0.640626457238989	0.519542018566648	0.580218035120897	0.629324341078032	0.602217037167445	0.598526220021296	0.560308551140639	0.538875823371356	0.560636617260994	0.703020852388217	0.666959173180766	0.66516357287362	0.599930181889186	0.668102147653119	0.696408415938893	0.624578957273961	0.606166744309939	0.591059831681356	0.620267482915534	0.598282404780468	0.65391884100036	0.59044739709216	0.652232158252034	0.626138250187072	0.697230878899538	0.589193231212862	0.51791894542985	0.620097698094619
Channel.128..DMS79	0.830475630327759	1	0.793045969186113	0.787152626674716	0.728747254446584	0.663693114942086	0.778581729708088	0.637859264434586	0.546300169179714	0.679278471463098	0.601576939328051	0.576752871866673	0.58786536730274	0.597321871522869	0.647546691230802	0.655878097321126	0.654154507794993	0.630296754883772	0.513358799350321	0.58470966338656	0.648459518189744	0.629079165592552	0.587845129718828	0.576287313246568	0.542519007548917	0.554883809852248	0.718807301054143	0.677121322666406	0.692596356731704	0.59606181838727	0.646065109893164	0.701546165099047	0.628148173742927	0.633849518315676	0.613710363546267	0.629264738355119	0.65077373329087	0.636804423041399	0.626525229296619	0.670956461630336	0.649990972215151	0.714286243550427	0.585259814362419	0.552908288888095	0.63271820491586
Channel.129..H128	0.840230207612462	0.793045969186113	1	0.836150395487374	0.817897503023744	0.576914484343894	0.786748007893769	0.738044140158091	0.663197254170375	0.594730303038418	0.616270538944105	0.754860734134153	0.584021856544972	0.559695031440857	0.645264222088826	0.595451459328342	0.650721196041714	0.631111098439441	0.535588622676615	0.566056786167353	0.585065208943799	0.601436695174206	0.572454171376342	0.541648143476957	0.544587994876794	0.515956511164339	0.715123774201269	0.626693263926597	0.603349414667335	0.540708741434294	0.606632394423769	0.669226768597199	0.586756817799401	0.561460885216807	0.52950512078672	0.629854485391453	0.502423608771878	0.631627967457619	0.559070971658473	0.607223257201896	0.603428677312362	0.640499877815817	0.58809768940858	0.546171766552943	0.606694688226098
Channel.130..H209.1	0.841973222383361	0.787152626674716	0.836150395487374	1	0.819155021888358	0.595505671509995	0.792606715187261	0.745714589953632	0.685392568533946	0.624557504098195	0.572040374729265	0.792079696185538	0.594019002718484	0.582163965873061	0.635250295334645	0.628965910154882	0.677368014348098	0.636197944818159	0.509938540405851	0.572304362426101	0.615869134700627	0.598399981248839	0.563400436364928	0.556396835998047	0.529937544151928	0.554292381757938	0.691395459928353	0.661183982844506	0.667094431626029	0.570316851378805	0.664563506931537	0.695824235324552	0.600267801719095	0.592734123278759	0.581946464229548	0.651918062614073	0.564144276026824	0.633052631415173	0.605685102487084	0.614644763918731	0.63315034054041	0.66669790806898	0.580558885826883	0.520865545970025	0.590275956524376
Channel.131..H524	0.76161044881204	0.728747254446584	0.817897503023744	0.819155021888358	1	0.475064680191363	0.764370888708439	0.805958859104789	0.8022876040414	0.543838419628739	0.5588939489443	0.774621791283556	0.549099395949954	0.586079001431531	0.632647335422501	0.563414520339721	0.621515739992215	0.586573738990262	0.498156169549224	0.538918504313564	0.548323396830966	0.547562870304626	0.524137062089433	0.517789109861365	0.517016801233151	0.472995027960894	0.703132584262017	0.590158868739332	0.566918857495674	0.523187087195182	0.56302681473022	0.636248593601949	0.538497681084805	0.523755593561663	0.464404210699052	0.613144345182949	0.46466695820687	0.574744762326184	0.541756708214766	0.557072964179816	0.57538481916682	0.562049856615149	0.567729274909808	0.51765020174835	0.540105057126501
Channel.127..DMS53	0.648718134324747	0.663693114942086	0.576914484343894	0.595505671509995	0.475064680191363	1	0.543728595823978	0.478162862435385	0.319568988487198	0.811684989345209	0.55908829437104	0.318740216280334	0.686356716991856	0.609153092736047	0.675593320886387	0.701943236118089	0.694511328593064	0.726683795360535	0.493521658480021	0.633712315437825	0.684473908057316	0.740077047124083	0.673293066205104	0.710496091902186	0.634392412638159	0.708385484979106	0.585911618735716	0.714366663438905	0.731245270747653	0.680103205694907	0.739529437294909	0.739605051096883	0.669060391581262	0.615523431799455	0.710694640541585	0.675891210189815	0.714326923294296	0.703866394703788	0.707402481907713	0.746144385108902	0.737624181320615	0.733130735306118	0.681974169040017	0.653175091794661	0.69846978585122
Channel.128..H526	0.768202238240609	0.778581729708088	0.786748007893769	0.792606715187261	0.764370888708439	0.543728595823978	1	0.684767741313329	0.65866212677973	0.561488063607865	0.555092592272822	0.643038686850152	0.466782429004992	0.514634344440989	0.576232405790652	0.546024019325199	0.552223920147073	0.556270268812872	0.513269356622901	0.545254097600436	0.548544464348593	0.549942743755416	0.540035244596939	0.523799658558779	0.481097914196398	0.47515599121765	0.69716797507086	0.589372404423668	0.57819853077632	0.481268968493599	0.554186872049442	0.61194050835581	0.525821283876307	0.549613067728897	0.478766633677352	0.553214329097867	0.514199711190986	0.567045332352796	0.520437293261045	0.556326005394336	0.539939948970026	0.627156694766807	0.49275497333946	0.464740798381613	0.572814998539047
Channel.129..H69	0.678163614176318	0.637859264434586	0.738044140158091	0.745714589953632	0.805958859104789	0.478162862435385	0.684767741313329	1	0.74436554147284	0.534588394735589	0.512925510084211	0.739103669008833	0.512381116966757	0.517980290765661	0.586533241032246	0.483091023456875	0.550730741415288	0.550514337211894	0.453658784196733	0.459930671286084	0.519869017760387	0.526583167198743	0.525291549419571	0.454238140882693	0.506563869036992	0.464596685435317	0.642920233686044	0.530210396258713	0.49453119452345	0.461059972503547	0.508240525453834	0.578826390206382	0.492734255894313	0.46430850133885	0.403975674286139	0.5423944161111	0.414668503976328	0.526967854733807	0.492667655071195	0.523441777311446	0.535717004312167	0.481670721037667	0.542993096591447	0.48913030297426	0.48286459536492
Channel.130..H82	0.581151076694514	0.546300169179714	0.663197254170375	0.685392568533946	0.8022876040414	0.319568988487198	0.65866212677973	0.74436554147284	1	0.390381700029672	0.503917606851258	0.751752226538323	0.397029744145115	0.446931437872937	0.523058476434351	0.409071913098136	0.462321624789555	0.453760709245731	0.473745475060025	0.37701998820733	0.439136928214046	0.395681026154488	0.421701587258396	0.362953889336104	0.394433564536332	0.353385992116268	0.591277145329261	0.441606366361991	0.393169478201341	0.350970914257753	0.413139770419188	0.487829040554442	0.377042828338022	0.366681123022604	0.263375647711632	0.463680849782448	0.284532324049722	0.406997764815961	0.403773778093297	0.364884695222399	0.407742711630991	0.414919430384412	0.461944000818939	0.401863586078367	0.444398881596638
Channel.131..H446	0.649916424289329	0.679278471463098	0.594730303038418	0.624557504098195	0.543838419628739	0.811684989345209	0.561488063607865	0.534588394735589	0.390381700029672	1	0.591410391486975	0.425392240994661	0.708607362733696	0.631110312038241	0.71261835107551	0.705041096755108	0.728173986669246	0.776968980658411	0.519223733315627	0.616600138876501	0.709139058016266	0.754701693361185	0.687743709843283	0.690871395513658	0.688685438632043	0.683010860303871	0.652803324933088	0.718483755666883	0.719640397846517	0.675184913037707	0.737082604792894	0.786514862301937	0.697871442782919	0.630170563071263	0.66107198902096	0.739732907623872	0.704872796512353	0.704696981960094	0.71563297842755	0.730573272259957	0.79265698583518	0.715277559130011	0.743404350626738	0.658380881029599	0.69003736427879
