	A549	CAL-12T	Calu-3	DMS153	DMS53	H1299	H1355	H1437	H1650	H1666	H1703	H1734	H1781	H1792	H1944	H1975	H209	H2106	H2228	H23	H2342	H2405	H358	H441	H446	H460	H524	H526	H661	H69	H82	H838	HCC15	HCC44	HCC78	HCC827	Lou-NH91
A549	1.0	0.0745980258064	0.130883824047	0.0103173358604	0.477579321356	0.504810637144	0.0483108456092	0.212241054292	0.440102698312	0.397454564883	0.282995396013	0.141765893069	0.181124764616	0.135678495528	0.0615452544618	0.128320452575	0.0259562804534	0.134540196435	0.401273155997	0.116249923034	0.546921151017	0.366940725042	0.194434093163	0.192533785785	0.165302229746	0.249705631952	0.174982556602	0.0620544495835	0.157205062279	0.198738260996	0.0299696151	0.502026636514	0.124379483907	0.266663206893	0.234676852605	0.235784823925	0.108209595882
CAL-12T	0.0745980258064	1.0	0.0659736461218	0.0893049787763	0.173497279029	0.101034967258	0.0881177238734	0.117549070174	0.122661606958	0.044855781644	0.17386925808	0.0667483789093	0.141372053948	0.0541226214644	0.0112488422521	0.145236420637	-0.00403511398328	0.100816606912	0.115058419299	0.0406791280956	0.0902710921256	0.0747291966218	0.214778744367	0.180442635584	0.239916387362	0.133301132486	0.063054124612	0.0565884796859	0.0694784359404	0.172100744439	0.0139007159879	0.0921172464623	0.112112107206	0.253603742134	0.0798117587869	0.0621576116391	0.071980068752
Calu-3	0.130883824047	0.0659736461218	1.0	-0.0333887999233	0.127810696982	0.130977406466	0.112171506748	0.0970501970223	0.0946769357083	0.158302692641	0.204045924523	0.331879079319	0.136667946004	0.0447866435318	0.177070304668	0.0640520345793	0.00720934416926	0.00448663808368	0.150757906019	0.0309476732883	0.138488144879	0.21097025065	0.112950776765	0.149851964867	0.129925581409	0.148175890908	0.0672754985128	0.0280593482418	0.112383650998	0.0926219697447	0.0133753793963	0.12616941313	0.272636222361	0.0940244456167	0.132730803436	0.199563719963	0.174878766592
DMS153	0.0103173358604	0.0893049787763	-0.0333887999233	1.0	0.0549221235703	0.0253955143612	0.0143640776306	-0.0557647059229	0.00833229999759	-0.037784784474	-0.0341223858866	0.10141384924	0.0191043367289	0.0187335413697	0.0720126709511	-0.0457724166324	0.326143806512	0.145913433499	-3.91823466248e-05	0.0648879698027	0.0322691528585	-0.0594666111828	0.0515362023183	-0.0145436372865	0.0764995977051	0.00929433410554	0.048765664108	0.108833135958	-0.0294805273206	0.0945835867604	0.124000249782	0.00781264137792	0.0478068825867	-0.0462668306496	-0.0561672929357	-0.04668341231	0.147426469655
DMS53	0.477579321356	0.173497279029	0.127810696982	0.0549221235703	1.0	0.432854530082	0.116334435791	0.18063419487	0.358406610922	0.262947700048	0.411309056802	0.196514313446	0.186207782296	0.264498318457	0.153321714914	0.345970171789	0.102409785353	0.289236490791	0.408697328524	0.223623235159	0.475399042177	0.397974884704	0.250399860679	0.184478576786	0.256092231209	0.309418941891	0.241387360406	0.066999790222	0.256175017888	0.230485018426	0.0819915868385	0.430588411167	0.120501789529	0.141324578067	0.138153084018	0.305210737924	0.104343596079
H1299	0.504810637144	0.101034967258	0.130977406466	0.0253955143612	0.432854530082	1.0	0.0987321506966	0.17728297013	0.598723995423	0.302633996639	0.354736276852	0.195846265425	0.182999061465	0.163962489789	0.107295966557	0.311160010941	0.108262203116	0.295036620198	0.532021904346	0.219274508322	0.540042929242	0.254450583415	0.210005063218	0.172239905209	0.240285021622	0.352618132586	0.169855189858	0.11267590159	0.249769296106	0.150883524637	0.0476958373894	0.488218009159	0.124883875372	0.187784454622	0.248405402554	0.253533628678	0.177316707
H1355	0.0483108456092	0.0881177238734	0.112171506748	0.0143640776306	0.116334435791	0.0987321506966	1.0	0.0951397121805	0.0535750097264	0.074904108307	0.0946943614305	0.0905400330937	0.16868170999	0.242218452109	0.0432224977454	0.0265767076901	0.0594042911498	0.183129749438	0.101340105178	0.180493983049	0.0971867343215	0.132444061717	0.0815285922174	0.103464040648	0.0865295906488	0.166992808348	0.0633727578704	0.12125631598	0.0613041268306	0.0497900235367	0.0567020118553	0.0894587907817	0.176727426115	0.0856671794696	0.0429968268545	0.0373890871728	0.118707254459
H1437	0.212241054292	0.117549070174	0.0970501970223	-0.0557647059229	0.18063419487	0.17728297013	0.0951397121805	1.0	0.151772533838	0.176077785926	0.186517683186	0.16705801679	0.451257477831	0.123874077662	0.119752987727	0.119656984809	0.00333733217266	0.0802083774836	0.228378024728	0.106695170241	0.131704542076	0.452290623215	0.0894621799412	0.232020543987	0.217171750201	0.250657398733	0.130645951822	0.110102566926	0.176087880786	0.131442693422	0.0576566130142	0.257679749306	0.256420394864	0.071653511307	0.149812647123	0.160980565546	0.168056815728
H1650	0.440102698312	0.122661606958	0.0946769357083	0.00833229999759	0.358406610922	0.598723995423	0.0535750097264	0.151772533838	1.0	0.378828017612	0.367881075413	0.156207521789	0.222613731581	0.10891865188	0.11958174245	0.248339806161	0.0937727800481	0.303895745854	0.454776633903	0.159700907965	0.41183536881	0.224291316078	0.268649881231	0.138854652306	0.232713978943	0.403306802838	0.187945432099	0.0984135454867	0.127740506257	0.167987759833	0.0377131018853	0.427739726242	0.106350823749	0.165512218397	0.293203972374	0.129370022132	0.195445318768
H1666	0.397454564883	0.044855781644	0.158302692641	-0.037784784474	0.262947700048	0.302633996639	0.074904108307	0.176077785926	0.378828017612	1.0	0.396955304171	0.14991170553	0.303692340862	0.128954994351	0.072315346674	0.149253206357	0.0196377166829	0.0752766646521	0.408591264205	0.0879959758685	0.338811732154	0.343305424089	0.117738713302	0.191810333552	0.138716158421	0.250518202757	0.240730110573	0.101291826967	0.15752643265	0.0983999912393	0.0411268359133	0.321894349252	0.131351885344	0.132309921295	0.187509849509	0.165081521198	0.0645169982661
