	cor	pval	zscore
none	0.503342202219	0.0001	13.7826846341
row-zscore	0.250223979602	0.0001	6.30314285114
col-qn	0.681559138038	0.0001	20.0326831569
col-zscore	0.717676641727	0.0001	20.0593961272
col-qn row-zscore	0.350828730708	0.0001	8.89901940405
col-zscore row-zscore	0.36101157695	0.0001	9.10178552888
filter none	0.193711346179	0.0001	5.51590750329
filter row-zscore	0.223524030931	0.0001	5.59444956838
filter col-qn	0.206226131739	0.0001	7.42152080922
filter col-zscore	0.203327307274	0.0001	7.35156098367
filter col-qn row-zscore	0.381670131889	0.0001	9.68450031519
filter col-zscore row-zscore	0.380026266326	0.0001	9.75879709017
none filter	0.193711346179	0.0001	5.54176630506
row-zscore filter	0.223524030931	0.0001	5.67295315125
col-qn filter	0.21445646727	0.0001	7.77693186805
col-zscore filter	0.203935723083	0.0001	7.26140627258
col-qn row-zscore filter	0.33715545276	0.0001	8.59264252673
col-zscore row-zscore filter	0.363925075417	0.0001	9.3932456421
