	cor	pval	zscore
none	0.291880727935	0.0001	7.32561001819
row-zscore	0.228987182887	0.0005	5.83822351052
col-qn	0.398264749729	0.0001	9.42205451527
col-zscore	0.430460870211	0.0001	10.1966863896
col-qn row-zscore	0.421765367333	0.0001	10.7967886746
col-zscore row-zscore	0.555267553751	0.0001	14.0033920647
filter none	0.270715539101	0.0001	6.68768858739
filter row-zscore	0.232125808865	0.0003	5.85690841983
filter col-qn	0.434059155767	0.0001	10.2228777985
filter col-zscore	0.435188133912	0.0001	10.2433934945
filter col-qn row-zscore	0.587845523392	0.0001	14.9878018654
filter col-zscore row-zscore	0.585820779834	0.0001	15.0252773237
none filter	0.270715539101	0.0001	6.75269544022
row-zscore filter	0.232125808865	0.0002	6.02706351802
col-qn filter	0.390085019811	0.0001	9.01785086529
col-zscore filter	0.438634575972	0.0001	10.3768728294
col-qn row-zscore filter	0.417064638437	0.0001	10.8095612703
col-zscore row-zscore filter	0.577565582074	0.0001	14.7412235401
