	cor	pval	zscore
none	0.316570320294	0.0052	2.77604722484
row-zscore	0.260638226645	0.0189	2.33707657354
col-qn	0.461887674577	0.0001	4.44940404583
col-zscore	0.277798382163	0.0037	2.7023260546
col-qn row-zscore	0.509814240568	0.0001	4.92434323291
col-zscore row-zscore	0.384909696687	0.0011	3.37532484908
filter none	0.458088511885	0.0002	3.95718086908
filter row-zscore	0.402654670122	0.0009	3.52880452938
filter col-qn	0.700205566219	0.0001	5.922962228
filter col-zscore	0.695727838881	0.0001	5.90028407261
filter col-qn row-zscore	0.69857424576	0.0001	5.76374515151
filter col-zscore row-zscore	0.710994402828	0.0001	5.84139588023
none filter	0.458088511885	0.0005	3.92310662614
row-zscore filter	0.402654670122	0.0008	3.56661615186
col-qn filter	0.723271642834	0.0001	5.81666388748
col-zscore filter	0.697175170817	0.0001	5.76603473932
col-qn row-zscore filter	0.717228583577	0.0001	5.86976689873
col-zscore row-zscore filter	0.734171076525	0.0001	6.01272975201
