	cor	pval	zscore
none	0.437375446468	0.0001	10.3758512692
row-zscore	0.49270201207	0.0001	12.7137067522
col-qn	0.424040479091	0.0001	10.0392085704
col-zscore	0.437375446468	0.0001	10.3825382727
col-qn row-zscore	0.518043270436	0.0001	13.3100081478
col-zscore row-zscore	0.561073331109	0.0001	14.2864118678
filter none	0.437336544314	0.0001	10.3009596975
filter row-zscore	0.520806260041	0.0001	13.3484420782
filter col-qn	0.436391806159	0.0001	10.3440717525
filter col-zscore	0.437336544314	0.0001	10.2300115411
filter col-qn row-zscore	0.590602261382	0.0001	15.2056128996
filter col-zscore row-zscore	0.588441137263	0.0001	15.0722307788
none filter	0.437336544314	0.0001	10.1870704594
row-zscore filter	0.520806260041	0.0001	13.455774861
col-qn filter	0.411968485025	0.0001	9.64943159264
col-zscore filter	0.437336544314	0.0001	10.2459979459
col-qn row-zscore filter	0.531778134992	0.0001	13.5070271239
col-zscore row-zscore filter	0.586026721982	0.0001	14.9027595462
