	('treatment: A549 1hr ires', 'cell line: A549', 'drug: ires', 'time: 1hr', 'custom: b')	('treatment: A549 24hr ires', 'cell line: A549', 'drug: ires', 'time: 24hr', 'custom: a')	('treatment: A549 1hr glee', 'cell line: A549', 'drug: glee', 'time: 1hr', 'custom: h')	('treatment: A549 24hr glee', 'cell line: A549', 'drug: glee', 'time: 24hr', 'custom: g')	('treatment: A549 1hr criz', 'cell line: A549', 'drug: criz', 'time: 1hr', 'custom: n')	('treatment: MKN-45 1hr criz', 'cell line: MKN-45', 'drug: criz', 'time: 1hr', 'custom: r')	('treatment: MKN-45 3hr criz', 'cell line: MKN-45', 'drug: criz', 'time: 3hr', 'custom: q')	('treatment: MKN-45 6hr criz', 'cell line: MKN-45', 'drug: criz', 'time: 6hr', 'custom: p')	('treatment: MKN-45 24hr criz', 'cell line: MKN-45', 'drug: criz', 'time: 24hr', 'custom: o')	('treatment: H1703 1hr glee', 'cell line: H1703', 'drug: glee', 'time: 1hr', 'custom: m')	('treatment: H1703 3hr glee', 'cell line: H1703', 'drug: glee', 'time: 3hr', 'custom: l')	('treatment: H1703 6hr glee', 'cell line: H1703', 'drug: glee', 'time: 6hr', 'custom: k')	('treatment: H1703 24hr glee1', 'cell line: H1703', 'drug: glee', 'time: 24hr', 'custom: j')	('treatment: H1703 24hr glee2', 'cell line: H1703', 'drug: glee', 'time: 24hr', 'custom: i')	('treatment: H2228 1hr criz', 'cell line: H2228', 'drug: criz', 'time: 1hr', 'custom: t')	('treatment: H2228 3hr criz', 'cell line: H2228', 'drug: criz', 'time: 3hr', 'custom: s')	('treatment: H3122 1hr criz', 'cell line: H3122', 'drug: criz', 'time: 1hr', 'custom: v')	('treatment: H3122 3hr criz', 'cell line: H3122', 'drug: criz', 'time: 3hr', 'custom: u')	('treatment: H3255 1hr ires', 'cell line: H3255', 'drug: ires', 'time: 1hr', 'custom: f')	('treatment: H3255 3hr ires', 'cell line: H3255', 'drug: ires', 'time: 3hr', 'custom: e')	('treatment: H3255 6hr ires', 'cell line: H3255', 'drug: ires', 'time: 6hr', 'custom: d')	('treatment: H3255 24hr ires', 'cell line: H3255', 'drug: ires', 'time: 24hr', 'custom: c')
('PTM: SART1-S84', 'Amino Acid: Serine')	0.214061759	0.579902859	0.16149903	0.35507518	0.449740143	1.031010445	0.895668682	0.582403037	0.165770156	0.472516191	0.713630098	-0.032861922	-0.23334997	0.225129311	-0.485506273	-0.371305205	-0.323783733	-0.385743587	-0.562255442	-0.414652292	-0.79087894	-0.037122448
('PTM: PPM1G-S183', 'Amino Acid: Serine')	0.770016759	0.928088392	0.736312156	0.49904648	0.847717835	0.758295295	0.031370664	0.009428299	0.524673115	0.855229094	1.184755701	0.589333277	0.535047202	1.23374207	nan	nan	-0.010192715	1.190096401	0.122240889	-0.225482908	1.135987521	0.206960871
('PTM: SART1-T430', 'Amino Acid: Threonine')	0.377764621	1.577628645	1.950683429	1.691344676	1.078748796	0.837173935	-0.218731031	0.609111986	0.738050869	-0.504167084	0.993925443	0.676657671	1.22674839	1.535801543	-0.521453014	-0.424884852	-0.195490225	-0.003017753	-0.267834707	-0.15315543	-0.131647984	0.56830637
('PTM: RPS28-S23', 'Amino Acid: Serine')	-0.903219884	-2.117085685	-1.234280418	-2.27544115	-0.608475109	0.500422271	-0.192432215	1.03744961	-0.159741938	0.014237742	0.05951449	0.018057308	-0.397983964	-0.026891314	nan	nan	0.195719709	0.435782124	-0.170958612	-0.540337037	-0.974464145	-1.088364587
('PTM: EHBP1L1-S462', 'Amino Acid: Serine')	-0.00464853	0.341013568	0.374154725	-0.055499341	0.17607069	-0.12472137	-0.113599855	-0.445492783	-0.199172218	0.082722497	0.116998083	-0.458656734	-0.075419979	0.362331881	-0.102275163	-0.143463939	-0.13603534	-0.031947609	-0.198075497	-0.333863923	-0.386275029	-0.557179379
('PTM: ZC3H14-S620', 'Amino Acid: Serine')	0.325982305	0.216086898	0.36821101	0.17652151	0.37656529	-0.166517883	-0.058552223	0.437757032	-0.007157926	0.236356112	-0.235673394	-0.043855438	-0.513126458	-0.271490936	-0.018023582	-0.008085633	0.430448732	0.567946167	0.235169571	0.265990243	0.251516543	-0.434030601
('PTM: CTDSPL2-S104', 'Amino Acid: Serine')	0.027745249	0.452181678	0.185178879	0.105671057	0.221900722	-0.476732782	-0.570896035	-0.765473351	-0.567292428	0.094484722	-0.008566172	0.089828089	-0.176498903	-0.011863961	-0.570570699	-0.154048901	-0.539619928	-0.226705237	-0.567374109	-0.070649628	-0.244012853	-0.48481056
('PTM: TNKS1BP1-S1545', 'Amino Acid: Serine')	-0.08726843	0.141857966	-0.39948324	0.345102612	0.045874069	nan	nan	nan	nan	0.383866026	0.216308255	-0.305663314	-0.30141874	-0.182240976	0.318932804	0.30773718	-0.035661528	0.419662377	-1.351521823	-0.691930096	-1.537752973	1.289792032
('PTM: CUL5-S34', 'Amino Acid: Serine')	-0.299384257	-0.601048389	-0.102855925	-0.560576799	-0.22338267	0.071772911	-0.50865612	-0.719922919	-0.228510186	-0.112282423	-0.439331433	-0.218612522	-0.236941652	-0.052996763	-0.212790062	0.137699124	nan	nan	-0.11717433	-0.271975494	-0.414707398	-1.860996431
('PTM: RBM14-S623', 'Amino Acid: Serine')	0.171916694	0.885230511	0.663379681	0.551277232	0.455714616	0.216852048	0.057258583	-0.349152498	0.261696588	0.249217951	0.296838085	-0.111582342	0.297543152	0.248900793	-0.490755357	-0.341139236	0.049441332	0.304131437	0.150163242	-0.092545418	-0.103999806	-0.200478076
