	('Lou-NH91', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H2342', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H1703', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('HCC15', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('HCC78', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H1781', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H2228', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H441', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('HCC44', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('CAL-12T', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H2405', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H1666', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('HCC827', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: true', 'mut-RB1: false', 'mut-KRAS: false')	('H1975', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: true', 'mut-RB1: false', 'mut-KRAS: false')	('H1650', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: true', 'mut-RB1: false', 'mut-KRAS: false')	('Calu-3', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H358', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H1734', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: true')	('H1944', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H1437', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H1792', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('A549', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H23', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H838', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H460', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H1299', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H661', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H1355', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H446', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('DMS53', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H2106', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('DMS153', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H82', 'Histology: SCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H69', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H524', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H209', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H526', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')
('TNKS1BP1 phospho S1621', 'Data-Type: phospho')	-0.0414938615144	-1.41843338421	-0.942722596292	-1.09547440954	-1.6312335859	-2.43480847229	-1.65804809543	0.157293408905	-0.0414938615144	0.498818485599	0.146610102638	1.06314746509	-0.720892806086	-0.15540386528	0.205252543688	-0.369838249684	0.644300529339	0.448308146596	2.34547429307	1.11587115117	0.093612144978	0.0681826135784	0.841770377247	0.489639700197	0.550047211809	0.0554746030378	-1.53902769168	0.886617047696	-0.496509157404	-0.15540386528	0.6548158089	1.87812158988	0.722742340641	-1.07206474697	0.0107912483625	0.850995668577	0.0449621680812
('EIF4B phospho S409', 'Data-Type: phospho')	-0.326424349145	-0.846802390518	-0.633292847848	-0.277520647964	-0.837686793593	-0.826931490518	-1.03203897907	-0.258416579272	-0.0288744104688	0.0722799148761	0.569572798481	0.143123393111	-0.733630476355	-0.654606864939	0.237158153385	-0.932718396079	0.72033894887	0.447919065281	2.52938152782	1.92827553061	-0.407672837541	-1.44133857253	-0.0437858997055	-0.517547067273	0.702401838354	0.620652095556	-0.614025680381	0.0687845493105	0.175490578174	-0.801073367693	-0.000126382099614	1.03549869339	0.625658387314	-2.67686892467	0.985757351871	1.03162138877	1.9974687425
('ABLIM1 phospho S455', 'Data-Type: phospho')	-0.349494916769	-0.451265407874	-1.47479364268	-0.676701705023	-1.23563542038	-0.278432847427	-1.47479364268	-0.793450982549	-0.95058264271	-0.393156596338	0.688502280436	0.493040616399	-1.05767500768	-0.251623064065	-0.00227396369892	0.422634442638	0.356812397215	0.169084203766	2.07314297453	1.07913127114	-0.523254306049	-0.333129239273	0.122458731578	0.793406844282	-0.305590488366	-0.496248979844	-1.78033509381	1.02634958424	0.0	0.0	0.717418302213	2.34424994588	0.0	0.0	1.12176892802	1.42043742489	0.0
('ABLIM1 phospho S452', 'Data-Type: phospho')	-0.610596731915	-0.959691851726	-2.30828057252	-0.171919044627	-0.571554778851	0.0474953838244	-1.51588489677	-0.571554778851	-1.51588489677	-1.02232613422	1.07210770871	0.69075962997	-0.0322875807087	0.441357487007	0.0225759967252	0.94693085037	0.822574127894	0.554779751398	1.54066043181	0.516030505457	0.0370078648559	-0.266379307287	-0.159868685629	0.42147375479	0.00993244631693	-0.266379307287	-2.04207883748	1.33078506335	1.01705056683	0.953182818455	0.508135535204	2.33814998964	-0.343365194077	-1.40671234221	-0.343365194077	0.11266005138	0.724480171011
('ABLIM1 phospho S458', 'Data-Type: phospho')	0.326509924891	-0.457854076597	-0.773030635353	-0.0319505222871	-0.5791177086	-0.35837332703	-1.8040081119	0.296618099204	-2.52331064213	-1.74052391724	0.296618099204	-0.214146604418	-0.733092094211	-0.081204921968	-0.811367397169	0.519855379076	0.707873310686	0.0503191079225	1.88597229496	-0.172757198025	0.475700818865	0.0766578316034	0.648407262032	-0.791346203188	-0.55943016107	-0.55943016107	-1.60740051687	1.28329296382	0.755417603363	0.519855379076	0.0503191079225	2.52836637799	0.878277492654	0.533713204909	0.900152237069	0.968807366831	0.0956103370435
('SCEL phospho S68', 'Data-Type: phospho')	-0.573498083543	-0.674027774035	-0.874785253801	-0.136120187202	-0.462349030323	-0.747434723061	-1.76406691848	1.00506944195	-1.99066760738	-1.08701838768	-1.81551259364	-1.30624580537	0.0	0.0	0.0	0.0	0.422192486005	0.220591963075	1.33995074936	2.10430301769	1.03885144501	1.05636376239	0.908006897469	-0.83528501961	0.122216300397	0.00158433379664	-0.269832485728	1.04972067511	-0.0618748468514	0.206165451626	0.0	1.28371560519	0.908006897469	-0.190380251164	0.192124091067	0.535018374461	0.395217475807
('RSRC2 phospho S105', 'Data-Type: phospho')	-1.3330819259	-0.493600145132	-0.815895924861	0.0165015160102	-1.36167471165	-0.825736563644	-1.51336427033	1.41134471388	-0.853930119114	-0.302205315244	-1.04227098242	-1.10615481161	-0.317540885894	-0.405927151371	0.365753314114	-0.873650013862	0.360958486685	0.393258096322	1.98762554823	2.41761225827	-0.21657062177	-0.351851183878	1.27044484174	-0.888735682702	0.305805732969	0.499091159234	-1.94044485401	1.3152785224	0.790580197126	0.969549316596	-0.309914945799	0.728750324473	0.812403636582	-0.169985223735	0.285186209476	0.462343901441	0.73004755737
('PRPF38B phospho T479', 'Data-Type: phospho')	-0.621983370657	-0.439982447037	-0.0676212628462	-0.476787603209	-0.383844307244	-0.393344989453	-0.748690998187	-0.524614755782	-1.8793862716	-1.34336817379	-0.927510897327	-0.602831761435	-0.973375522073	-0.490386714912	0.41859673511	-1.11211046871	-1.00012977096	-0.42632973356	1.46912672646	1.17429879012	-0.261196962303	-0.965973199631	0.148223327179	0.262344736901	-0.631969967498	-0.351486774424	-0.720929710763	-0.274140220974	1.28175468466	1.07047326539	0.914652725842	1.05492778059	2.00132879775	0.789007656273	1.96107573273	1.41546584959	1.65671907579
('PRPF38B phospho S475', 'Data-Type: phospho')	-1.08854717154	-0.920359411743	-0.612446599601	-1.031449852	-1.00646294737	-1.01741042618	-1.48691154182	-0.764909711582	-0.392435467918	-0.324277613042	-0.515815862065	-0.10104628475	0.0	0.0	0.0	0.0	-0.10104628475	-0.0239195456804	1.56014334019	1.20949006456	-0.319080297117	-1.23268772631	-0.0787177773936	0.394315517423	-0.287742699851	0.0562756948394	-1.28560523036	-0.433134108993	0.990460020529	0.779371939128	0.0	0.462354280048	2.07646369064	0.832284930437	2.08516217807	1.12194347385	1.45574143036
('PPP2R5D phospho S90', 'Data-Type: phospho')	-0.0855550649059	-0.00720129292592	0.659071273551	-0.924552701489	-0.442890433823	-0.690089497489	-1.20922739846	-0.0537580256398	-2.01442641426	-1.29941253806	-0.442890433823	-1.16468052172	0.0	0.0	0.0	0.0	-1.10698565994	0.184407603077	1.95031554842	1.07586384931	-0.409596263873	-1.41156400472	-0.189228708308	-0.222347901846	-0.0996776590666	0.340478952818	-0.123593896245	-0.436277252845	0.850975658928	0.669140925235	0.0	1.92088153063	0.528960107356	-0.0622510747977	0.91789468883	1.50370545462	1.79451115146
