	('H2405', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H1666', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('HCC44', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('CAL-12T', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H1944', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H1437', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('HCC827', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: true', 'mut-RB1: false', 'mut-KRAS: false')	('H1975', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: true', 'mut-RB1: false', 'mut-KRAS: false')	('H358', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H1650', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: true', 'mut-RB1: false', 'mut-KRAS: false')	('Calu-3', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('HCC78', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H441', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H1781', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H2228', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H1734', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: true')	('Lou-NH91', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H2342', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('HCC15', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H1792', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('A549', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H838', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H23', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H1355', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H661', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H1703', 'Histology: NSCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H460', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: true')	('H1299', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H446', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('DMS53', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H209', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('DMS153', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H2106', 'Histology: NSCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: false', 'mut-KRAS: false')	('H82', 'Histology: SCLC', 'mut-TP53: false', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H524', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H69', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')	('H526', 'Histology: SCLC', 'mut-TP53: true', 'mut-EGFR: false', 'mut-RB1: true', 'mut-KRAS: false')
('SLC40A1', 'Data-Type: Exp')	0.0117812273918	-0.125259459521	-1.44568155263	0.30400752623	1.47905619706	0.7317605648	-1.3647404424	-0.0836610283027	0.922379522456	-0.327123932061	1.07336572832	0.264074727814	1.94549156272	-1.41166615578	0.472173271631	0.981243517656	-1.36674975742	1.96518575896	0.696212935381	1.02188612167	0.858483720375	-0.970179958129	-1.09660015804	0.13518724698	1.24378847267	-1.45113974156	0.131324873908	-1.18325545266	-0.607192524398	0.613752475471	-0.453750258184	-0.036585291609	-0.963166679889	0.252072862706	-0.888240216258	-1.44608674025	0.117851034901
('GPX3', 'Data-Type: Exp')	0.520879957948	1.38945689723	0.247229092438	-1.03253938199	-1.20426864901	1.50537400661	-1.09200254248	0.740570937137	0.584683961066	-0.877343618528	-1.08575691833	1.37677551399	1.64230548936	-1.22662426314	1.35302923775	1.08815821382	-1.20359768543	1.00721701152	0.394353043923	1.53535629729	0.424274244307	0.269930999275	-1.09461604	-0.510290504364	-0.216156201877	-1.21077304889	0.94118801767	-0.970227286125	-1.14455666572	1.28492729249	-0.637180184886	0.0108055514413	-0.331096209818	-0.172228164874	-0.229758744329	-1.22103587441	-0.856463781073
('RAB38', 'Data-Type: Exp')	-0.457326873082	1.58119098439	-0.63588681699	1.24605507846	1.4022820057	0.94527461419	0.752088550008	-0.471821714602	1.1895572869	-0.774169188768	0.461756728503	0.799076446089	1.81689886226	-1.07381815521	0.875715628456	0.0833040430941	-1.35282197467	1.06709140029	-0.0648393427413	0.932390021202	-0.953085981672	-1.10121634382	-1.08761232242	0.52790715515	-1.19042598787	-1.13745396857	0.278878130333	-0.441902140385	-1.31427446898	0.918082199813	-1.16748450459	-1.30974951953	-1.07434639591	-0.138230938778	-0.364861828491	1.47308918149	-0.23930984926
('TBL1XR1 AcK K102', 'Data-Type: AcK')	-0.41702425868	0.753252444326	0.549385590311	-0.269539188416	0.0436550023331	0.884320592202	-0.432574386238	0.187926545045	0.359878581206	-0.364510564801	0.702083267949	0.0	2.12328686208	0.0	0.0	1.45392126274	-0.795586076552	0.449734070745	-0.730728814666	1.16648421141	0.381383217751	0.87251145257	-3.87649599057	0.245896184478	0.0	-0.36542221732	-0.709450586223	-0.509864458851	-0.265024126632	-0.726885995059	-0.306733510797	0.0873241824871	-0.112741873929	0.621811369598	0.0	-0.126451572337	-0.873821216156
('FRK phospho Y46', 'Data-Type: phospho')	0.0261400037098	1.03208612059	-0.858606744782	-1.88684368539	0.713512330918	0.685738188079	1.42184004145	-1.43228808539	-0.500136398185	-0.11071383324	0.0237161604416	0.663759971688	1.36915410987	0.906087217375	-0.962255464074	1.8786352496	-0.117254204665	0.478459164621	-0.068564403684	1.44778930594	0.250958128215	-0.822290547204	-2.30942229897	0.809707545952	-0.530496462892	-0.598486868157	-0.606459014718	-0.75211074211	0.0	0.0	-0.562932805473	0.790356146879	-0.379078126401	0.0	0.0	0.0	0.0
('ALDOC phospho T52', 'Data-Type: phospho')	0.0759700667291	0.858501307582	0.537437318463	-1.14760806858	0.36345870582	0.429810924381	-0.440484646407	0.393716269811	0.557734535112	-0.700953428296	-1.5727451431	1.44469329198	1.648435636	-0.0413892179388	-0.362681325554	0.734634846106	-4.00355239829	-0.856867398769	0.11357774174	0.951208717469	-0.281299600039	1.06088130744	-0.163846648553	-0.0557646870793	-0.615128972786	-1.52068800644	0.164824029922	-0.5535950476	0.308031943398	0.790077330982	-0.238127712189	0.338431210537	0.400051774948	1.07550828137	0.198539745037	-0.0872249022218	0.196432219019
('ALDOC phospho S45', 'Data-Type: phospho')	0.623736983507	1.49311393236	0.535327868524	-1.34232403618	0.0827611669262	0.223512259657	0.0	0.0	0.570947241221	0.0	0.0	1.58196906588	1.3708295292	-0.318020372055	-0.755573010901	0.649863465156	-2.38446044901	-0.974684161988	-0.378825644718	0.364488341009	-1.01211060903	1.08191884579	-0.978475656107	-0.467163563623	-0.624386272472	-0.903598643756	-0.490598357477	-1.71058776578	0.424226557233	1.30840489674	-0.460724536914	-0.345986941923	0.0	1.64364324082	0.150695630841	0.141981709855	0.900099287211
('RAMP1', 'Data-Type: Exp')	0.520164823695	0.91484698333	-0.118148511986	-0.831758990833	-1.08148693518	-0.673674495898	1.17282302958	1.65448220131	-0.940230193186	-0.67433292446	-0.201630249054	1.2574511795	1.17719574238	-0.138887610769	1.46366073168	0.00311301540636	-0.499087259565	-1.01546896503	1.08429240626	0.132429785841	-0.902417714919	0.587932532726	-0.821545876597	-1.07693677354	-0.724213791202	-0.947104467553	-0.965966811449	-0.972755630194	-1.14575469948	2.04995961189	-0.924869661903	-0.550600188593	-0.831110835625	1.26111643182	0.755792123465	0.0953004855779	1.90742150254
('OCIAD2', 'Data-Type: Exp')	0.25176259967	0.680210480677	0.413760120063	0.352880661668	0.0220738227081	-0.0184071186478	0.690899682917	0.598674362852	0.941845695482	-0.398903206797	0.243923500147	0.404777818526	0.640604062521	0.188517714067	0.888699972369	0.615527373185	0.404846305282	-0.118939355466	0.00161735533631	0.465014555051	0.00820788860496	-1.31962757231	-1.24231339962	0.357042549183	-2.8923969622	-2.70693008397	-0.525170132635	-2.91437752332	0.470309108157	1.28390543537	0.773036376915	0.183054578176	0.0060373852423	0.196283058622	0.729689528206	0.340726896479	-0.0168635325185
('PRDX2', 'Data-Type: Exp')	-0.149007051756	0.450612486908	0.238595214703	0.0747265523843	0.0604028089839	0.557274677843	0.0803192117015	0.709369141392	0.63460178783	0.236066093661	0.0940472671041	0.530853362188	0.0839171672087	-1.05093314345	0.581575344225	0.565709619893	-1.82084558419	-0.333519877329	0.368193095522	0.458564070697	-2.19123178673	-0.326276651668	-0.935884346288	-0.034158405765	-2.16616557617	-2.40761936648	0.447501293594	-2.3634159131	0.733434936506	0.620618437571	0.916123935627	0.790239743984	0.969763086887	0.836863392595	0.899846335594	0.979906802508	0.859931835804
